awayteam,date,away_FG,away_FGA,away_FGpct,away_3P,away_3PA,away_3Ppct,away_FT,away_FTA,away_FTpct,away_PF,away_PTS
San Antonio Spurs,2016-02-21,43,82,.524,10,16,.625,22,34,.647,20,118
Utah Jazz,2016-02-21,43,86,.500,8,16,.500,17,23,.739,26,111
Memphis Grizzlies,2016-02-21,28,76,.368,3,20,.150,26,32,.813,25,85
Golden State Warriors,2016-02-22,39,89,.438,14,45,.311,10,12,.833,17,102
Detroit Pistons,2016-02-22,37,80,.463,8,25,.320,14,21,.667,15,96
Phoenix Suns,2016-02-22,31,88,.352,7,24,.292,15,20,.750,27,84
Indiana Pacers,2016-02-22,36,92,.391,5,15,.333,16,25,.640,26,93
Los Angeles Lakers,2016-02-22,28,76,.368,12,29,.414,33,43,.767,24,101
Boston Celtics,2016-02-22,49,101,.485,10,28,.357,14,17,.824,27,122
Toronto Raptors,2016-02-22,46,87,.529,11,25,.440,19,25,.760,19,122
Sacramento Kings,2016-02-23,43,83,.518,7,17,.412,21,28,.750,18,114
Orlando Magic,2016-02-23,41,85,.482,7,14,.500,35,41,.854,22,124
Brooklyn Nets,2016-02-23,43,90,.478,3,12,.250,15,19,.789,20,104
Houston Rockets,2016-02-23,36,87,.414,11,34,.324,31,41,.756,28,114
New Orleans Pelicans,2016-02-23,29,83,.349,6,23,.261,25,33,.758,17,89
Washington Wizards,2016-02-24,38,90,.422,9,28,.321,19,26,.731,22,104
Charlotte Hornets,2016-02-24,37,76,.487,10,29,.345,19,27,.704,20,103
Oklahoma City Thunder,2016-02-24,43,89,.483,12,33,.364,18,22,.818,27,116
Philadelphia 76ers,2016-02-24,33,83,.398,7,23,.304,18,26,.692,24,91
New York Knicks,2016-02-24,35,77,.455,13,26,.500,22,25,.880,17,105
Denver Nuggets,2016-02-24,34,90,.378,6,24,.250,13,17,.765,14,87
Los Angeles Lakers,2016-02-24,39,88,.443,17,39,.436,24,33,.727,21,119
Golden State Warriors,2016-02-24,42,90,.467,13,28,.464,21,25,.840,24,118
San Antonio Spurs,2016-02-24,44,85,.518,8,19,.421,12,15,.800,16,108
Minnesota Timberwolves,2016-02-24,37,74,.500,6,10,.600,25,33,.758,22,105
Milwaukee Bucks,2016-02-25,42,87,.483,4,15,.267,19,25,.760,27,107
Oklahoma City Thunder,2016-02-25,47,86,.547,8,19,.421,17,22,.773,15,119
Golden State Warriors,2016-02-25,53,88,.602,13,25,.520,11,16,.688,21,130
Brooklyn Nets,2016-02-25,37,75,.493,8,18,.444,34,42,.810,22,116
Houston Rockets,2016-02-25,44,82,.537,10,29,.345,21,35,.600,25,119
San Antonio Spurs,2016-02-25,38,79,.481,9,18,.500,11,12,.917,16,96
Chicago Bulls,2016-02-26,32,88,.364,5,20,.250,19,22,.864,20,88
Denver Nuggets,2016-02-26,43,93,.462,9,29,.310,21,31,.677,26,116
Charlotte Hornets,2016-02-26,36,83,.434,11,28,.393,13,19,.684,21,96
Memphis Grizzlies,2016-02-26,43,85,.506,13,32,.406,13,15,.867,26,112
Orlando Magic,2016-02-26,39,93,.419,6,27,.222,11,16,.688,24,95
Washington Wizards,2016-02-26,40,94,.426,7,23,.304,16,17,.941,19,103
Los Angeles Clippers,2016-02-26,43,89,.483,9,29,.310,22,26,.846,27,117
Cleveland Cavaliers,2016-02-26,35,74,.473,12,24,.500,15,21,.714,26,97
Miami Heat,2016-02-27,36,87,.414,1,13,.077,16,23,.696,19,89
Portland Trail Blazers,2016-02-27,38,87,.437,5,21,.238,22,27,.815,17,103
San Antonio Spurs,2016-02-27,37,76,.487,8,19,.421,22,28,.786,21,104
Detroit Pistons,2016-02-27,37,88,.420,12,30,.400,16,24,.667,18,102
Minnesota Timberwolves,2016-02-27,42,84,.500,5,15,.333,23,30,.767,21,112
Golden State Warriors,2016-02-27,45,95,.474,14,32,.438,17,25,.680,22,121
Memphis Grizzlies,2016-02-27,32,80,.400,6,20,.300,36,42,.857,26,106
Brooklyn Nets,2016-02-27,40,84,.476,7,15,.467,11,17,.647,21,98
Charlotte Hornets,2016-02-28,27,81,.333,7,32,.219,15,23,.652,12,76
Minnesota Timberwolves,2016-02-28,34,90,.378,7,23,.304,26,37,.703,17,101
Toronto Raptors,2016-02-28,39,80,.488,10,21,.476,13,18,.722,24,101
Portland Trail Blazers,2016-02-28,41,81,.506,14,24,.583,15,21,.714,20,111
Miami Heat,2016-02-28,40,84,.476,1,8,.125,17,21,.810,18,98
Philadelphia 76ers,2016-02-28,41,77,.532,5,22,.227,29,37,.784,21,116
Cleveland Cavaliers,2016-02-28,32,80,.400,9,29,.310,26,30,.867,26,99
Utah Jazz,2016-02-29,38,101,.376,7,24,.292,12,17,.706,21,95
Indiana Pacers,2016-02-29,37,80,.463,8,18,.444,14,15,.933,23,96
Memphis Grizzlies,2016-02-29,36,75,.480,3,20,.150,28,36,.778,16,103
Brooklyn Nets,2016-02-29,32,77,.416,8,19,.421,23,33,.697,19,95
Houston Rockets,2016-02-29,41,87,.471,15,36,.417,24,35,.686,24,121
Oklahoma City Thunder,2016-02-29,47,82,.573,14,34,.412,23,26,.885,23,131
Philadelphia 76ers,2016-02-29,43,89,.483,10,32,.313,12,21,.571,27,108
Phoenix Suns,2016-03-01,33,91,.363,6,27,.222,20,27,.741,22,92
Orlando Magic,2016-03-01,41,91,.451,9,30,.300,17,20,.850,29,108
Atlanta Hawks,2016-03-01,37,80,.463,12,33,.364,19,24,.792,17,105
Brooklyn Nets,2016-03-01,39,89,.438,5,18,.278,18,27,.667,19,101
Chicago Bulls,2016-03-01,41,90,.456,11,23,.478,18,26,.692,22,111
Portland Trail Blazers,2016-03-01,37,88,.420,12,30,.400,18,20,.900,18,104
Portland Trail Blazers,2016-03-02,34,84,.405,11,29,.379,14,20,.700,21,93
Los Angeles Lakers,2016-03-02,35,79,.443,11,31,.355,26,32,.813,25,107
New Orleans Pelicans,2016-03-02,36,90,.400,14,37,.378,9,13,.692,28,95
Oklahoma City Thunder,2016-03-02,39,98,.398,10,35,.286,10,11,.909,21,98
Sacramento Kings,2016-03-02,39,82,.476,9,26,.346,11,20,.550,29,98
Indiana Pacers,2016-03-02,38,80,.475,10,20,.500,18,26,.692,23,104
Washington Wizards,2016-03-02,42,84,.500,11,29,.379,9,13,.692,22,104
Chicago Bulls,2016-03-02,38,99,.384,6,19,.316,7,11,.636,17,89
Charlotte Hornets,2016-03-02,40,81,.494,10,25,.400,29,35,.829,21,119
Detroit Pistons,2016-03-02,31,78,.397,6,19,.316,13,23,.565,13,81
Utah Jazz,2016-03-02,37,83,.446,10,26,.385,10,16,.625,21,94
Sacramento Kings,2016-03-03,42,80,.525,7,25,.280,13,24,.542,14,104
Oklahoma City Thunder,2016-03-03,40,86,.465,4,20,.200,22,27,.815,18,106
Phoenix Suns,2016-03-03,33,82,.402,5,22,.227,21,27,.778,24,92
San Antonio Spurs,2016-03-03,36,81,.444,8,21,.381,14,15,.933,11,94
New York Knicks,2016-03-04,42,92,.457,9,23,.391,11,14,.786,18,104
Indiana Pacers,2016-03-04,37,90,.411,9,28,.321,18,21,.857,24,101
Washington Wizards,2016-03-04,32,81,.395,3,20,.150,16,24,.667,19,83
Brooklyn Nets,2016-03-04,46,91,.505,13,22,.591,16,21,.762,21,121
Atlanta Hawks,2016-03-04,37,68,.544,13,28,.464,19,26,.731,18,106
Utah Jazz,2016-03-04,32,75,.427,5,19,.263,19,29,.655,18,88
Minnesota Timberwolves,2016-03-04,42,87,.483,7,22,.318,10,14,.714,22,101
Phoenix Suns,2016-03-04,35,78,.449,5,14,.357,27,39,.692,16,102
Miami Heat,2016-03-04,39,88,.443,5,16,.313,29,36,.806,19,112
Portland Trail Blazers,2016-03-04,39,83,.470,11,27,.407,26,35,.743,35,115
Houston Rockets,2016-03-05,35,87,.402,9,35,.257,21,30,.700,27,100
Boston Celtics,2016-03-05,37,80,.463,10,23,.435,19,27,.704,22,103
Atlanta Hawks,2016-03-05,40,89,.449,10,27,.370,17,20,.850,26,107
Brooklyn Nets,2016-03-05,45,92,.489,9,26,.346,19,26,.731,21,118
Utah Jazz,2016-03-05,37,78,.474,6,20,.300,26,27,.963,17,106
Detroit Pistons,2016-03-05,36,92,.391,6,26,.231,11,15,.733,21,89
Sacramento Kings,2016-03-05,37,81,.457,6,16,.375,14,21,.667,19,94
Indiana Pacers,2016-03-05,37,83,.446,7,21,.333,19,20,.950,28,100
Dallas Mavericks,2016-03-06,41,93,.441,16,41,.390,16,20,.800,19,114
Portland Trail Blazers,2016-03-06,35,78,.449,11,31,.355,22,23,.957,23,103
Golden State Warriors,2016-03-06,37,92,.402,4,30,.133,17,21,.810,20,95
Phoenix Suns,2016-03-06,37,71,.521,12,28,.429,23,30,.767,23,109
Philadelphia 76ers,2016-03-06,37,85,.435,11,31,.355,13,22,.591,21,98
Oklahoma City Thunder,2016-03-06,32,76,.421,7,25,.280,33,43,.767,23,104
Houston Rockets,2016-03-06,38,78,.487,13,29,.448,24,37,.649,21,113
Milwaukee Bucks,2016-03-07,36,91,.396,7,18,.389,11,17,.647,19,90
Minnesota Timberwolves,2016-03-07,39,80,.488,4,15,.267,21,24,.875,19,103
Memphis Grizzlies,2016-03-07,41,86,.477,6,20,.300,18,22,.818,26,106
Los Angeles Clippers,2016-03-07,39,83,.470,12,32,.375,19,29,.655,25,109
Orlando Magic,2016-03-07,40,90,.444,5,21,.238,28,34,.824,21,113
San Antonio Spurs,2016-03-07,34,96,.354,4,28,.143,19,22,.864,19,91
Sacramento Kings,2016-03-07,41,83,.494,7,25,.280,23,27,.852,25,112
New York Knicks,2016-03-08,33,75,.440,6,18,.333,22,26,.846,20,94
Orlando Magic,2016-03-08,37,76,.487,5,19,.263,19,27,.704,24,98
San Antonio Spurs,2016-03-08,47,85,.553,4,19,.211,18,19,.947,16,116
Washington Wizards,2016-03-08,45,99,.455,8,20,.400,11,23,.478,28,109
Brooklyn Nets,2016-03-08,42,82,.512,6,12,.500,9,9,1.000,22,99
Atlanta Hawks,2016-03-08,38,80,.475,8,25,.320,7,14,.500,19,91
Memphis Grizzlies,2016-03-09,32,84,.381,7,26,.269,25,31,.806,22,96
New Orleans Pelicans,2016-03-09,40,85,.471,10,33,.303,23,28,.821,23,113
Detroit Pistons,2016-03-09,38,85,.447,9,27,.333,17,30,.567,14,102
Utah Jazz,2016-03-09,32,79,.405,8,20,.400,22,31,.710,16,94
Miami Heat,2016-03-09,42,80,.525,6,15,.400,18,19,.947,24,108
Los Angeles Clippers,2016-03-09,41,81,.506,12,34,.353,14,23,.609,17,108
Houston Rockets,2016-03-09,38,86,.442,11,33,.333,31,41,.756,24,118
New York Knicks,2016-03-09,46,82,.561,16,24,.667,20,24,.833,18,128
Cleveland Cavaliers,2016-03-09,39,90,.433,13,44,.295,29,35,.829,21,120
Phoenix Suns,2016-03-10,33,89,.371,6,28,.214,26,33,.788,18,98
Cleveland Cavaliers,2016-03-10,45,85,.529,16,35,.457,14,20,.700,20,120
Chicago Bulls,2016-03-10,39,86,.453,11,22,.500,12,13,.923,18,101
Atlanta Hawks,2016-03-10,35,82,.427,7,23,.304,19,27,.704,24,96
Houston Rockets,2016-03-11,40,88,.455,5,26,.192,17,25,.680,21,102
Miami Heat,2016-03-11,47,91,.516,10,18,.556,14,20,.700,13,118
Detroit Pistons,2016-03-11,36,76,.474,9,30,.300,22,27,.815,21,103
Portland Trail Blazers,2016-03-11,37,86,.430,19,36,.528,19,23,.826,23,112
New York Knicks,2016-03-11,34,83,.410,4,20,.200,22,25,.880,20,94
New Orleans Pelicans,2016-03-11,42,96,.438,7,24,.292,23,34,.676,27,114
Minnesota Timberwolves,2016-03-11,37,86,.430,7,21,.333,18,21,.857,23,99
Brooklyn Nets,2016-03-11,33,87,.379,5,17,.294,18,22,.818,14,89
Orlando Magic,2016-03-11,41,79,.519,4,15,.267,21,34,.618,23,107
Washington Wizards,2016-03-11,35,80,.438,7,24,.292,16,22,.727,28,93
Memphis Grizzlies,2016-03-12,33,95,.347,6,23,.261,11,14,.786,14,83
Houston Rockets,2016-03-12,43,93,.462,5,26,.192,18,28,.643,20,109
Indiana Pacers,2016-03-12,38,81,.469,9,28,.321,27,29,.931,25,112
Washington Wizards,2016-03-12,36,86,.419,7,21,.333,21,29,.724,28,100
Phoenix Suns,2016-03-12,45,92,.489,11,29,.379,15,20,.750,30,116
New Orleans Pelicans,2016-03-12,35,89,.393,6,29,.207,16,21,.762,19,92
Detroit Pistons,2016-03-12,49,91,.538,9,18,.500,18,22,.818,20,125
Orlando Magic,2016-03-12,34,91,.374,7,26,.269,9,18,.500,16,84
Oklahoma City Thunder,2016-03-12,31,81,.383,2,18,.111,21,25,.840,23,85
Miami Heat,2016-03-12,37,98,.378,9,25,.360,21,26,.808,30,104
Indiana Pacers,2016-03-13,33,87,.379,5,24,.208,4,7,.571,14,75
Milwaukee Bucks,2016-03-13,45,89,.506,6,14,.429,13,21,.619,12,109
Cleveland Cavaliers,2016-03-13,41,84,.488,18,37,.486,14,20,.700,19,114
New York Knicks,2016-03-13,33,75,.440,5,21,.238,19,27,.704,16,90
Utah Jazz,2016-03-13,39,82,.476,12,28,.429,18,22,.818,22,108
Dallas Mavericks,2016-03-14,42,87,.483,9,30,.300,14,18,.778,26,107
New Orleans Pelicans,2016-03-14,35,93,.376,7,25,.280,30,34,.882,19,107
Memphis Grizzlies,2016-03-14,30,101,.297,4,17,.235,17,28,.607,25,81
Denver Nuggets,2016-03-14,49,93,.527,7,20,.350,14,20,.700,21,119
Portland Trail Blazers,2016-03-14,31,91,.341,7,27,.259,25,27,.926,19,94
Minnesota Timberwolves,2016-03-14,37,84,.440,4,16,.250,26,30,.867,20,104
Chicago Bulls,2016-03-14,41,83,.494,9,25,.360,18,20,.900,22,109
Cleveland Cavaliers,2016-03-14,35,88,.398,10,43,.233,5,8,.625,16,85
Detroit Pistons,2016-03-14,32,79,.405,3,23,.130,14,22,.636,21,81
Philadelphia 76ers,2016-03-15,41,88,.466,11,30,.367,21,26,.808,21,114
Boston Celtics,2016-03-15,36,94,.383,8,31,.258,18,22,.818,21,98
Sacramento Kings,2016-03-15,38,79,.481,4,18,.222,26,33,.788,17,106
Toronto Raptors,2016-03-15,39,83,.470,14,30,.467,15,17,.882,23,107
Denver Nuggets,2016-03-15,40,80,.500,9,24,.375,21,24,.875,19,110
Los Angeles Clippers,2016-03-15,32,69,.464,8,19,.421,15,22,.682,17,87
Oklahoma City Thunder,2016-03-16,47,96,.490,12,29,.414,24,30,.800,24,130
Orlando Magic,2016-03-16,35,83,.422,11,25,.440,18,21,.857,20,99
Dallas Mavericks,2016-03-16,37,79,.468,7,22,.318,17,19,.895,18,98
Atlanta Hawks,2016-03-16,39,89,.438,12,34,.353,28,34,.824,26,118
New York Knicks,2016-03-16,36,91,.396,7,19,.368,6,10,.600,11,85
Los Angeles Clippers,2016-03-16,43,76,.566,12,30,.400,24,32,.750,20,122
Minnesota Timberwolves,2016-03-16,40,71,.563,10,21,.476,24,31,.774,20,114
New Orleans Pelicans,2016-03-16,49,90,.544,12,21,.571,13,16,.813,14,123
Chicago Bulls,2016-03-16,35,87,.402,6,20,.300,20,23,.870,20,96
Denver Nuggets,2016-03-17,39,87,.448,6,22,.273,14,17,.824,22,98
Brooklyn Nets,2016-03-17,40,86,.465,6,21,.286,16,20,.800,18,102
Toronto Raptors,2016-03-17,32,88,.364,7,22,.318,30,38,.789,21,101
Charlotte Hornets,2016-03-17,40,86,.465,13,26,.500,16,21,.762,19,109
Memphis Grizzlies,2016-03-17,34,92,.370,3,13,.231,15,17,.882,19,86
Washington Wizards,2016-03-17,40,90,.444,6,27,.222,13,19,.684,17,99
Portland Trail Blazers,2016-03-17,39,89,.438,10,22,.455,22,30,.733,22,110
Phoenix Suns,2016-03-17,28,82,.341,6,26,.231,7,14,.500,16,69
Golden State Warriors,2016-03-18,48,95,.505,22,38,.579,12,14,.857,21,130
Sacramento Kings,2016-03-18,40,79,.506,4,15,.267,24,29,.828,20,108
Minnesota Timberwolves,2016-03-18,43,85,.506,6,16,.375,19,24,.792,14,111
Phoenix Suns,2016-03-18,32,89,.360,8,30,.267,23,26,.885,21,95
Portland Trail Blazers,2016-03-18,36,78,.462,9,27,.333,36,40,.900,26,117
Cleveland Cavaliers,2016-03-18,38,76,.500,13,28,.464,20,27,.741,21,109
Oklahoma City Thunder,2016-03-18,45,89,.506,7,22,.318,14,18,.778,24,111
Boston Celtics,2016-03-18,36,82,.439,9,21,.429,10,12,.833,18,91
Houston Rockets,2016-03-19,33,84,.393,5,23,.217,26,31,.839,17,97
Utah Jazz,2016-03-19,35,86,.407,8,27,.296,7,12,.583,14,85
Denver Nuggets,2016-03-19,38,87,.437,9,18,.500,16,23,.696,21,101
Brooklyn Nets,2016-03-19,42,80,.525,5,14,.357,14,21,.667,22,103
Oklahoma City Thunder,2016-03-19,42,80,.525,10,28,.357,21,26,.808,25,115
Los Angeles Clippers,2016-03-19,31,66,.470,12,30,.400,28,39,.718,27,102
Cleveland Cavaliers,2016-03-19,40,76,.526,10,24,.417,11,13,.846,22,101
Golden State Warriors,2016-03-19,31,82,.378,9,36,.250,8,10,.800,21,79
New York Knicks,2016-03-19,32,81,.395,10,21,.476,15,17,.882,18,89
Portland Trail Blazers,2016-03-20,42,104,.404,18,46,.391,18,28,.643,22,120
Utah Jazz,2016-03-20,34,83,.410,13,38,.342,13,14,.929,13,94
Los Angeles Clippers,2016-03-20,33,82,.402,10,39,.256,29,42,.690,28,105
Sacramento Kings,2016-03-20,35,88,.398,7,25,.280,11,14,.786,15,88
Boston Celtics,2016-03-20,46,94,.489,10,25,.400,18,21,.857,24,120
Orlando Magic,2016-03-20,40,83,.482,8,22,.364,12,18,.667,30,100
Washington Wizards,2016-03-21,46,91,.505,13,25,.520,12,20,.600,17,117
Orlando Magic,2016-03-21,39,93,.419,5,19,.263,13,19,.684,20,96
Sacramento Kings,2016-03-21,40,88,.455,9,29,.310,13,16,.813,19,102
San Antonio Spurs,2016-03-21,37,86,.430,4,17,.235,10,13,.769,17,88
Denver Nuggets,2016-03-21,32,81,.395,8,22,.364,19,25,.760,16,91
Milwaukee Bucks,2016-03-21,41,76,.539,5,9,.556,4,7,.571,20,91
Philadelphia 76ers,2016-03-21,31,80,.388,4,18,.222,9,14,.643,17,75
Golden State Warriors,2016-03-21,43,87,.494,8,24,.333,15,24,.625,20,109
Memphis Grizzlies,2016-03-21,39,90,.433,8,20,.400,17,19,.895,27,103
Charlotte Hornets,2016-03-22,39,82,.476,10,28,.357,17,21,.810,21,105
Memphis Grizzlies,2016-03-22,40,80,.500,4,15,.267,16,23,.696,26,100
Miami Heat,2016-03-22,44,88,.500,3,19,.158,22,27,.815,22,113
Houston Rockets,2016-03-22,40,92,.435,13,37,.351,14,17,.824,27,107
Toronto Raptors,2016-03-23,31,89,.348,6,22,.273,11,20,.550,15,79
New York Knicks,2016-03-23,45,87,.517,14,25,.560,11,15,.733,16,115
Milwaukee Bucks,2016-03-23,43,80,.538,7,16,.438,11,15,.733,24,104
Philadelphia 76ers,2016-03-23,37,94,.394,15,37,.405,14,15,.933,27,103
Orlando Magic,2016-03-23,39,98,.398,8,25,.320,16,19,.842,19,102
Los Angeles Clippers,2016-03-23,36,85,.424,8,28,.286,18,27,.667,22,98
Utah Jazz,2016-03-23,31,77,.403,11,29,.379,16,20,.800,19,89
Sacramento Kings,2016-03-23,42,91,.462,8,20,.400,12,23,.522,25,104
Los Angeles Lakers,2016-03-23,39,93,.419,7,27,.259,22,26,.846,24,107
Dallas Mavericks,2016-03-23,42,96,.438,9,30,.300,10,11,.909,17,103
Miami Heat,2016-03-23,37,77,.481,7,14,.500,7,12,.583,16,88
Atlanta Hawks,2016-03-23,45,84,.536,17,42,.405,15,22,.682,17,122
Cleveland Cavaliers,2016-03-24,39,89,.438,10,38,.263,7,9,.778,20,95
New Orleans Pelicans,2016-03-24,35,85,.412,4,16,.250,10,14,.714,16,84
Portland Trail Blazers,2016-03-24,32,80,.400,6,24,.250,24,32,.750,25,94
Chicago Bulls,2016-03-24,37,89,.416,6,25,.240,14,18,.778,14,94
Utah Jazz,2016-03-24,35,73,.479,5,22,.227,16,23,.696,22,91
Milwaukee Bucks,2016-03-25,35,84,.417,3,13,.231,17,26,.654,16,90
Charlotte Hornets,2016-03-25,37,93,.398,14,30,.467,17,22,.773,21,105
Dallas Mavericks,2016-03-25,43,96,.448,18,35,.514,16,21,.762,19,120
Toronto Raptors,2016-03-25,39,94,.415,13,31,.419,18,26,.692,24,109
Denver Nuggets,2016-03-25,45,94,.479,10,26,.385,16,24,.667,22,116
Orlando Magic,2016-03-25,36,84,.429,6,18,.333,19,28,.679,24,97
Phoenix Suns,2016-03-25,35,94,.372,9,32,.281,15,23,.652,27,94
Memphis Grizzlies,2016-03-25,44,83,.530,7,18,.389,9,13,.692,19,104
Minnesota Timberwolves,2016-03-25,51,96,.531,8,26,.308,22,22,1.000,22,132
Indiana Pacers,2016-03-26,37,77,.481,11,24,.458,25,30,.833,26,110
Atlanta Hawks,2016-03-26,43,95,.453,13,34,.382,13,14,.929,21,112
Charlotte Hornets,2016-03-26,41,74,.554,16,29,.552,17,21,.810,11,115
Utah Jazz,2016-03-26,39,83,.470,9,21,.429,6,7,.857,16,93
Toronto Raptors,2016-03-26,39,73,.534,12,29,.414,25,28,.893,18,115
Cleveland Cavaliers,2016-03-26,37,83,.446,14,34,.412,19,25,.760,23,107
San Antonio Spurs,2016-03-26,37,86,.430,4,15,.267,14,17,.824,17,92
Chicago Bulls,2016-03-26,36,88,.409,6,24,.250,11,17,.647,16,89
Boston Celtics,2016-03-26,35,84,.417,8,29,.276,24,27,.889,23,102
Philadelphia 76ers,2016-03-26,39,93,.419,10,38,.263,17,24,.708,22,105
Philadelphia 76ers,2016-03-27,42,90,.467,10,30,.333,11,12,.917,20,105
Houston Rockets,2016-03-27,38,85,.447,7,33,.212,18,27,.667,18,101
Denver Nuggets,2016-03-27,37,94,.394,7,29,.241,9,13,.692,19,90
Washington Wizards,2016-03-27,39,72,.542,7,18,.389,16,29,.552,17,101
Dallas Mavericks,2016-03-27,42,88,.477,8,24,.333,19,24,.792,24,111
Atlanta Hawks,2016-03-28,36,85,.424,5,22,.227,25,28,.893,13,102
Dallas Mavericks,2016-03-28,36,88,.409,11,32,.344,14,15,.933,20,97
Boston Celtics,2016-03-28,31,89,.348,7,19,.368,21,27,.778,17,90
San Antonio Spurs,2016-03-28,37,72,.514,5,15,.333,22,30,.733,21,101
Brooklyn Nets,2016-03-28,41,77,.532,3,11,.273,14,18,.778,10,99
Phoenix Suns,2016-03-28,41,84,.488,15,33,.455,19,23,.826,34,116
New York Knicks,2016-03-28,36,89,.404,10,31,.323,9,13,.692,26,91
Sacramento Kings,2016-03-28,37,89,.416,7,15,.467,12,19,.632,20,93
Oklahoma City Thunder,2016-03-28,41,86,.477,11,26,.423,26,32,.813,22,119
Los Angeles Lakers,2016-03-28,26,85,.306,7,20,.350,16,22,.727,19,75
Houston Rockets,2016-03-29,38,79,.481,9,25,.360,21,42,.500,24,106
Oklahoma City Thunder,2016-03-29,31,82,.378,6,21,.286,14,22,.636,21,82
Washington Wizards,2016-03-29,36,86,.419,5,23,.217,17,27,.630,19,94
Chicago Bulls,2016-03-29,37,87,.425,10,26,.385,14,16,.875,19,98
Brooklyn Nets,2016-03-29,37,79,.468,5,14,.357,26,39,.667,18,105
Charlotte Hornets,2016-03-29,38,87,.437,7,25,.280,17,18,.944,7,100
New York Knicks,2016-03-30,35,77,.455,3,17,.176,16,18,.889,19,89
Miami Heat,2016-03-30,41,86,.477,3,17,.176,15,26,.577,23,100
Denver Nuggets,2016-03-30,38,78,.487,13,29,.448,20,24,.833,29,109
Phoenix Suns,2016-03-30,38,84,.452,5,24,.208,13,17,.765,23,94
Los Angeles Clippers,2016-03-30,37,84,.440,9,31,.290,16,18,.889,17,99
Washington Wizards,2016-03-30,43,89,.483,9,26,.346,16,20,.800,19,111
New Orleans Pelicans,2016-03-30,36,80,.450,8,17,.471,12,18,.667,17,92
Atlanta Hawks,2016-03-30,37,83,.446,14,33,.424,9,13,.692,19,97
Golden State Warriors,2016-03-30,39,89,.438,12,35,.343,13,18,.722,21,103
Brooklyn Nets,2016-03-31,35,94,.372,4,21,.190,13,21,.619,19,87
Chicago Bulls,2016-03-31,37,77,.481,11,24,.458,18,22,.818,20,103
Orlando Magic,2016-03-31,48,90,.533,5,16,.313,13,18,.722,18,114
Denver Nuggets,2016-03-31,36,83,.434,10,27,.370,13,17,.765,15,95
Los Angeles Clippers,2016-03-31,42,76,.553,16,29,.552,17,22,.773,17,117
Boston Celtics,2016-03-31,37,88,.420,9,24,.375,26,34,.765,25,109
Cleveland Cavaliers,2016-04-01,39,98,.398,12,38,.316,20,31,.645,23,110
Philadelphia 76ers,2016-04-01,33,90,.367,10,39,.256,15,21,.714,20,91
Dallas Mavericks,2016-04-01,39,85,.459,8,24,.333,12,14,.857,18,98
Boston Celtics,2016-04-01,41,87,.471,8,23,.348,19,30,.633,14,109
Toronto Raptors,2016-04-01,30,71,.423,12,28,.429,27,29,.931,19,99
Orlando Magic,2016-04-01,46,86,.535,8,24,.333,10,12,.833,22,110
Brooklyn Nets,2016-04-01,36,101,.356,4,24,.167,15,20,.750,11,91
Washington Wizards,2016-04-01,38,86,.442,10,26,.385,20,25,.800,24,106
Miami Heat,2016-04-01,42,82,.512,12,22,.545,16,17,.941,22,112
Minnesota Timberwolves,2016-04-01,35,79,.443,9,23,.391,6,10,.600,20,85
Detroit Pistons,2016-04-02,32,76,.421,10,20,.500,20,34,.588,16,94
Sacramento Kings,2016-04-02,41,88,.466,8,21,.381,25,31,.806,20,115
Indiana Pacers,2016-04-02,44,84,.524,8,23,.348,19,23,.826,24,115
Miami Heat,2016-04-02,34,88,.386,6,19,.316,19,27,.704,17,93
Toronto Raptors,2016-04-02,40,80,.500,6,18,.333,9,10,.900,21,95
New Orleans Pelicans,2016-04-03,42,76,.553,8,22,.364,14,23,.609,21,106
Charlotte Hornets,2016-04-03,34,76,.447,9,26,.346,26,27,.963,13,103
Portland Trail Blazers,2016-04-03,38,85,.447,9,24,.375,26,33,.788,16,111
Oklahoma City Thunder,2016-04-03,38,82,.463,7,27,.259,27,32,.844,21,110
Washington Wizards,2016-04-03,43,94,.457,11,30,.367,12,21,.571,29,109
Boston Celtics,2016-04-03,41,91,.451,8,30,.267,17,22,.773,25,107
Chicago Bulls,2016-04-03,39,74,.527,7,26,.269,17,22,.773,16,102
Dallas Mavericks,2016-04-03,32,83,.386,14,40,.350,10,17,.588,17,88
Indiana Pacers,2016-04-03,34,81,.420,7,22,.318,17,20,.850,18,92
Memphis Grizzlies,2016-04-03,41,89,.461,8,21,.381,17,26,.654,21,107
Utah Jazz,2016-04-03,39,81,.481,10,27,.370,13,17,.765,20,101
Phoenix Suns,2016-04-05,30,81,.370,12,31,.387,18,30,.600,19,90
Oklahoma City Thunder,2016-04-05,46,87,.529,15,33,.455,17,24,.708,21,124
Minnesota Timberwolves,2016-04-05,44,86,.512,8,17,.471,28,36,.778,15,124
Los Angeles Lakers,2016-04-05,26,83,.313,6,20,.300,23,25,.920,23,81
Chicago Bulls,2016-04-05,34,77,.442,11,29,.379,13,19,.684,20,92
Detroit Pistons,2016-04-05,32,80,.400,5,22,.227,20,25,.800,14,89
Cleveland Cavaliers,2016-04-05,41,75,.547,18,36,.500,9,10,.900,14,109
New Orleans Pelicans,2016-04-05,37,82,.451,7,18,.389,12,16,.750,16,93
Portland Trail Blazers,2016-04-05,40,93,.430,12,31,.387,23,27,.852,19,115
Charlotte Hornets,2016-04-05,32,88,.364,11,35,.314,15,21,.714,22,90
